ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,uncertainty_rate,call_date,actual_date,CAR+1,CAR+5,CAR+10,CAR+20,CAR-1,CAR-5,CAR-10,event_day_CAR,label
AAPL,2023-02-02,Technology,0.38,0.12,0.5,0.26,7.1581,2023-02-02,2023-02-02,0.035029,0.023581,0.041113,0.033129,0.022506,0.01793,0.042549,0.035029,1
AAPL,2023-05-04,Technology,0.4067,0.1133,0.48,0.2933,6.7895,2023-05-04,2023-05-04,0.028414,0.030734,0.022511,0.036697,-0.002831,0.002095,0.011228,0.028414,1
AAPL,2023-08-03,Technology,0.4533,0.1133,0.4333,0.34,5.8097,2023-08-03,2023-08-03,-0.043498,-0.062521,-0.060625,-0.0193,-0.004456,-0.002543,-0.002762,-0.043498,0
AAPL,2023-11-02,Technology,0.5,0.0867,0.4133,0.4133,4.7202,2023-11-02,2023-11-02,-0.014304,0.020107,0.024576,0.012612,0.001529,0.019854,0.001872,-0.014304,1
AAPL,2024-02-01,Technology,0.48,0.0733,0.4467,0.4067,5.8176,2024-02-01,2024-02-01,-0.015933,-0.01083,-0.040985,-0.085649,0.000253,-0.040045,-0.036058,-0.015933,0
AAPL,2024-05-02,Technology,0.46,0.12,0.42,0.34,7.3379,2024-05-02,2024-05-02,0.047421,0.036715,0.05179,0.068351,0.012678,0.015424,0.024829,0.047421,1
AAPL,2024-08-01,Technology,0.4467,0.0667,0.4867,0.38,6.7385,2024-08-01,2024-08-01,0.025488,-0.000365,0.011791,0.025313,-0.00259,-0.004544,-0.0085,0.025488,1
AAPL,2024-10-31,Technology,0.4933,0.0333,0.4733,0.46,6.5223,2024-10-31,2024-10-31,-0.0175,-0.04048,-0.032118,-0.007927,0.001394,-0.001911,-0.003337,-0.0175,0
AAPL,2025-01-30,Technology,0.5,0.0333,0.4667,0.4667,7.529,2025-01-30,2025-01-30,-0.00137,-0.020509,0.009949,0.036956,-0.012762,0.070006,-0.021859,-0.00137,1
AAPL,2025-05-01,Technology,0.4467,0.0333,0.52,0.4133,8.5075,2025-05-01,2025-05-01,-0.052206,-0.086008,-0.064748,-0.112588,-0.003228,0.002208,0.035643,-0.052206,0
AAPL,2025-07-31,Technology,0.46,0.0467,0.4933,0.4133,5.4572,2025-07-31,2025-07-31,-0.008613,0.059759,0.102364,0.095023,-0.003328,-0.025269,-0.018098,-0.008613,1
AAPL,2025-10-30,Technology,0.5267,0.02,0.4533,0.5067,4.7342,2025-10-30,2025-10-30,-0.007075,0.007998,0.018145,0.02321,0.017301,0.033522,0.06774,-0.007075,1
ABT,2023-04-19,Healthcare,0.4067,0.0733,0.52,0.3333,4.7224,2023-04-19,2023-04-19,-0.011819,-0.00791,0.010058,-0.033534,0.078325,0.085418,0.084389,-0.011819,1
ABT,2023-07-20,Healthcare,0.46,0.0933,0.4467,0.3667,2.9871,2023-07-20,2023-07-20,0.021998,0.006647,-0.030975,-0.02656,0.049047,0.032134,0.019717,0.021998,0
ABT,2023-10-18,Healthcare,0.3667,0.0533,0.58,0.3133,3.9086,2023-10-18,2023-10-18,0.007531,0.008603,0.011794,-0.019723,0.050442,0.051234,-0.00848,0.007531,1
ABT,2024-01-24,Healthcare,0.4867,0.0667,0.4467,0.42,3.1689,2024-01-24,2024-01-24,0.009728,0.026657,-0.003255,0.028928,-0.029427,-0.055474,-0.036929,0.009728,0
ABT,2024-04-17,Healthcare,0.4467,0.0467,0.5067,0.4,5.3476,2024-04-17,2024-04-17,-0.003892,-0.000361,0.004082,-0.070766,-0.02439,-0.016286,-0.007316,-0.003892,1
ABT,2024-07-18,Healthcare,0.44,0.0533,0.5067,0.3867,4.531,2024-07-18,2024-07-18,0.026227,0.084643,0.118191,0.107882,-0.036354,-0.027491,-0.019073,0.026227,1
